City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dargaville,NZ,-35.9333,173.8833,64.72,88,84,4.03,broken clouds
1,Vaini,TO,-21.2,-175.2,75.36,100,40,3.44,scattered clouds
2,Brigantine,US,39.4101,-74.3646,33.15,74,75,28.77,broken clouds
3,Busselton,AU,-33.65,115.3333,65.05,72,0,8.28,clear sky
4,Mahebourg,MU,-20.4081,57.7,78.26,94,75,3.44,broken clouds
5,Ushuaia,AR,-54.8,-68.3,55.06,44,100,4.61,overcast clouds
6,Jatiroto,ID,-7.8833,111.1167,73.85,89,100,1.68,overcast clouds
7,Muroto,JP,33.2833,134.15,47.12,63,100,7.27,overcast clouds
8,Albany,US,42.6001,-73.9662,31.03,70,100,3.0,overcast clouds
9,New Norfolk,AU,-42.7826,147.0587,59.76,82,100,1.01,overcast clouds
10,Georgetown,MY,5.4112,100.3354,80.53,88,20,0.0,few clouds
11,Bluff,NZ,-46.6,168.3333,52.81,92,88,6.6,overcast clouds
12,East London,ZA,-33.0153,27.9116,70.74,94,100,12.66,mist
13,Katsuura,JP,35.1333,140.3,40.19,53,100,8.23,overcast clouds
14,Butaritari,KI,3.0707,172.7902,80.78,79,100,16.62,moderate rain
15,Lompoc,US,34.6391,-120.4579,62.13,91,100,3.44,overcast clouds
16,Opuwo,NA,-18.0607,13.84,74.8,28,82,6.93,broken clouds
17,Khoy,IR,38.5504,44.9535,27.16,79,100,2.93,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,77.49,76,100,16.75,light rain
19,Temirtau,KZ,50.0544,72.9483,19.65,95,100,15.95,overcast clouds
20,Hermanus,ZA,-34.4187,19.2345,69.8,81,57,18.9,broken clouds
21,Karmala,IN,18.4167,75.2,71.51,54,44,6.73,scattered clouds
22,Kapaa,US,22.0752,-159.319,68.18,100,0,5.75,clear sky
23,Punta Arenas,CL,-53.15,-70.9167,59.02,67,75,10.36,broken clouds
24,Qui Nhon,VN,13.7667,109.2333,69.01,90,24,9.71,few clouds
25,Bluefields,NI,12.0137,-83.7635,84.27,70,75,6.91,broken clouds
26,Dikson,RU,73.5069,80.5464,-7.49,86,100,21.25,overcast clouds
27,Kruisfontein,ZA,-34.0033,24.7314,69.89,92,100,11.1,overcast clouds
28,Rawson,AR,-43.3002,-65.1023,88.75,29,1,3.51,clear sky
29,Taoudenni,ML,22.6783,-3.9836,68.92,16,0,13.18,clear sky
30,Antofagasta,CL,-23.65,-70.4,72.21,49,81,9.33,broken clouds
31,Bambous Virieux,MU,-20.3428,57.7575,78.22,94,75,3.44,broken clouds
32,Atuona,PF,-9.8,-139.0333,78.04,70,23,16.46,few clouds
33,Cape Town,ZA,-33.9258,18.4232,80.28,59,0,1.99,clear sky
34,Pangnirtung,CA,66.1451,-65.7125,-19.52,97,100,3.18,overcast clouds
35,Itoman,JP,26.1247,127.6694,64.42,82,100,9.22,overcast clouds
36,Kahului,US,20.8947,-156.47,75.85,88,0,3.44,clear sky
37,Bethel,US,41.3712,-73.414,34.32,68,43,5.99,scattered clouds
38,Thessalon,CA,46.2501,-83.5666,9.36,63,11,6.87,few clouds
39,Charters Towers,AU,-20.1,146.2667,78.66,83,24,10.25,few clouds
40,Upernavik,GL,72.7868,-56.1549,6.96,93,100,5.48,overcast clouds
41,Khasan,RU,42.4308,130.6434,20.25,63,10,4.14,clear sky
42,Puerto Ayora,EC,-0.7393,-90.3518,82.36,73,88,8.39,overcast clouds
43,Iqaluit,CA,63.7506,-68.5145,-21.26,92,100,3.4,overcast clouds
44,Portland,US,45.5234,-122.6762,47.44,88,100,1.99,overcast clouds
45,Mokobeng,BW,-22.9965,27.6678,77.88,56,100,6.62,overcast clouds
46,Raga,SS,8.4596,25.678,80.17,27,68,3.33,broken clouds
47,Tuktoyaktuk,CA,69.4541,-133.0374,-13.99,95,100,22.46,overcast clouds
48,Nanortalik,GL,60.1432,-45.2371,19.63,73,42,22.48,scattered clouds
49,Esperance,AU,-33.8667,121.9,57.04,86,37,14.76,scattered clouds
50,Ribeira Grande,PT,38.5167,-28.7,61.2,55,20,5.75,few clouds
51,Mafinga,TZ,-7.25,35.0667,73.63,60,56,4.0,broken clouds
52,Mataura,NZ,-46.1927,168.8643,52.48,93,95,2.59,overcast clouds
53,Saint-Philippe,RE,-21.3585,55.7679,77.22,83,100,5.48,overcast clouds
54,Hirara,JP,24.8,125.2833,68.72,72,85,14.83,overcast clouds
55,Inhambane,MZ,-23.865,35.3833,78.78,78,20,11.5,few clouds
56,Bredasdorp,ZA,-34.5322,20.0403,69.28,88,99,16.11,overcast clouds
57,Orocue,CO,4.7912,-71.3354,95.23,30,55,10.0,broken clouds
58,Castro,BR,-24.7911,-50.0119,68.88,71,100,7.94,overcast clouds
59,Mirabad,AF,30.4362,61.8383,46.65,46,0,14.2,clear sky
60,Bandarbeyla,SO,9.4942,50.8122,76.55,67,33,16.02,scattered clouds
61,Geraldton,AU,-28.7667,114.6,73.13,88,75,13.8,broken clouds
62,Nioro,GM,13.35,-15.75,85.64,13,0,6.53,clear sky
63,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,89,75,9.22,broken clouds
64,Alice Springs,AU,-23.7,133.8833,65.75,32,0,4.61,clear sky
65,Yellowknife,CA,62.456,-114.3525,-19.84,97,31,7.76,scattered clouds
66,Fortuna,US,40.5982,-124.1573,51.42,96,40,0.0,light rain
67,Requena,ES,39.4883,-1.1004,47.98,66,0,10.83,clear sky
68,Chuy,UY,-33.6971,-53.4616,75.99,49,62,13.22,broken clouds
69,Key Biscayne,US,25.6937,-80.1628,84.02,68,75,4.0,broken clouds
70,Codrington,AU,-38.2667,141.9667,60.26,95,100,11.23,overcast clouds
71,Nizwa,OM,22.9333,57.5333,61.0,39,0,2.84,clear sky
72,Prestea,GH,5.4327,-2.1428,80.13,80,70,6.08,broken clouds
73,Saskylakh,RU,71.9167,114.0833,-29.54,100,85,3.38,overcast clouds
74,Itarema,BR,-2.9248,-39.9167,84.56,64,13,16.53,few clouds
75,Port Alfred,ZA,-33.5906,26.891,71.06,89,87,18.92,overcast clouds
76,Lengshuitan,CN,26.4111,111.5956,43.09,91,100,4.54,overcast clouds
77,Tasiilaq,GL,65.6145,-37.6368,32.16,92,100,31.25,snow
78,Praya,CV,14.9215,-23.5087,75.74,64,75,20.71,broken clouds
79,Bahia Blanca,AR,-38.7196,-62.2724,93.27,17,18,8.77,few clouds
80,Bilibino,RU,68.0546,166.4372,2.8,90,100,4.7,overcast clouds
81,Walvis Bay,NA,-22.9575,14.5053,63.55,72,1,4.61,clear sky
82,Jiaozuo,CN,35.2397,113.2331,36.57,73,100,4.32,overcast clouds
83,Nikolskoye,RU,59.7035,30.7861,8.49,95,87,6.29,overcast clouds
84,Pedernales,DO,18.0384,-71.744,83.28,58,0,6.55,clear sky
85,Kutum,SD,14.2,24.6667,70.38,19,60,7.09,broken clouds
86,Jamestown,US,42.097,-79.2353,22.08,77,100,10.0,overcast clouds
87,Tilichiki,RU,60.4667,166.1,16.48,88,100,11.14,overcast clouds
88,Yulara,AU,-25.2406,130.9889,75.04,22,0,9.22,clear sky
89,Barrow,US,71.2906,-156.7887,-11.18,77,0,8.05,haze
90,Airai,TL,-8.9266,125.4092,60.37,91,88,1.36,overcast clouds
91,Victoria,HK,22.2855,114.1577,64.38,81,56,8.01,broken clouds
92,Kumta,IN,14.4167,74.4,71.56,85,0,4.36,clear sky
93,Tautira,PF,-17.7333,-149.15,82.42,75,51,2.48,broken clouds
94,Warmbad,NA,-28.45,18.7333,87.98,14,0,11.48,clear sky
95,Avarua,CK,-21.2078,-159.775,80.65,89,40,2.3,scattered clouds
96,Klyuchi,RU,52.2667,79.1667,10.9,89,22,8.68,few clouds
97,Sitka,US,57.0531,-135.33,19.29,68,40,4.61,scattered clouds
